Education,Gender,Age,County,Occurrences
Technical/vocational,Female,18 years,Kerry,852
Technical/vocational,Female,18 years,Limerick City and County,1135
Technical/vocational,Female,18 years,Tipperary,1049
Technical/vocational,Female,18 years,Waterford City and County,740
Technical/vocational,Female,18 years,Galway City,325
Technical/vocational,Female,18 years,Galway County,1077
Technical/vocational,Female,18 years,Leitrim,194
Technical/vocational,Female,18 years,Mayo,847
Technical/vocational,Female,18 years,Roscommon,408
Technical/vocational,Female,18 years,Sligo,401
Technical/vocational,Female,18 years,Cavan,584
Technical/vocational,Female,18 years,Donegal,849
Technical/vocational,Female,18 years,Monaghan,418
,,,,
Technical/vocational,Female,19 years,State,18235
Technical/vocational,Female,19 years,Carlow,279
Technical/vocational,Female,19 years,Dublin City,1309
Technical/vocational,Female,19 years,Dún Laoghaire-Rathdown,576
Technical/vocational,Female,19 years,Fingal,1158
Technical/vocational,Female,19 years,South Dublin,962
Technical/vocational,Female,19 years,Kildare,930
Technical/vocational,Female,19 years,Kilkenny,448
Technical/vocational,Female,19 years,Laois,426
Technical/vocational,Female,19 years,Longford,155
Technical/vocational,Female,19 years,Louth,547
Technical/vocational,Female,19 years,Meath,892
Technical/vocational,Female,19 years,Offaly,301
Technical/vocational,Female,19 years,Westmeath,320
Technical/vocational,Female,19 years,Wexford,755
Technical/vocational,Female,19 years,Wicklow,609
Technical/vocational,Female,19 years,Clare,469
Technical/vocational,Female,19 years,Cork City,382
Technical/vocational,Female,19 years,Cork County,2046
Technical/vocational,Female,19 years,Kerry,567
Technical/vocational,Female,19 years,Limerick City and County,774
Technical/vocational,Female,19 years,Tipperary,688
Technical/vocational,Female,19 years,Waterford City and County,481
Technical/vocational,Female,19 years,Galway City,227
Technical/vocational,Female,19 years,Galway County,751
Technical/vocational,Female,19 years,Leitrim,124
Technical/vocational,Female,19 years,Mayo,520
Technical/vocational,Female,19 years,Roscommon,239
Technical/vocational,Female,19 years,Sligo,221
Technical/vocational,Female,19 years,Cavan,395
Technical/vocational,Female,19 years,Donegal,445
Technical/vocational,Female,19 years,Monaghan,239
,,,,
Technical/vocational,Female,20 years,State,12555
Technical/vocational,Female,20 years,Carlow,156
Technical/vocational,Female,20 years,Dublin City,929
Technical/vocational,Female,20 years,Dún Laoghaire-Rathdown,443
Technical/vocational,Female,20 years,Fingal,813
Technical/vocational,Female,20 years,South Dublin,681
Technical/vocational,Female,20 years,Kildare,611
Technical/vocational,Female,20 years,Kilkenny,300
Technical/vocational,Female,20 years,Laois,245
Technical/vocational,Female,20 years,Longford,117
Technical/vocational,Female,20 years,Louth,343
Technical/vocational,Female,20 years,Meath,578
Technical/vocational,Female,20 years,Offaly,202
Technical/vocational,Female,20 years,Westmeath,192
Technical/vocational,Female,20 years,Wexford,474
Technical/vocational,Female,20 years,Wicklow,410
Technical/vocational,Female,20 years,Clare,275
Technical/vocational,Female,20 years,Cork City,292
Technical/vocational,Female,20 years,Cork County,1504
Technical/vocational,Female,20 years,Kerry,444
Technical/vocational,Female,20 years,Limerick City and County,555
Technical/vocational,Female,20 years,Tipperary,395
Technical/vocational,Female,20 years,Waterford City and County,298
Technical/vocational,Female,20 years,Galway City,199
Technical/vocational,Female,20 years,Galway County,461
Technical/vocational,Female,20 years,Leitrim,76
Technical/vocational,Female,20 years,Mayo,337
Technical/vocational,Female,20 years,Roscommon,156
Technical/vocational,Female,20 years,Sligo,161
Technical/vocational,Female,20 years,Cavan,300
Technical/vocational,Female,20 years,Donegal,399
Technical/vocational,Female,20 years,Monaghan,209
,,,,
Technical/vocational,Female,21 years,State,6144
Technical/vocational,Female,21 years,Carlow,84
Technical/vocational,Female,21 years,Dublin City,497
Technical/vocational,Female,21 years,Dún Laoghaire-Rathdown,213
Technical/vocational,Female,21 years,Fingal,387
Technical/vocational,Female,21 years,South Dublin,335
Technical/vocational,Female,21 years,Kildare,242
Technical/vocational,Female,21 years,Kilkenny,137
Technical/vocational,Female,21 years,Laois,101
Technical/vocational,Female,21 years,Longford,56
Technical/vocational,Female,21 years,Louth,178
Technical/vocational,Female,21 years,Meath,253
Technical/vocational,Female,21 years,Offaly,85
Technical/vocational,Female,21 years,Westmeath,114
Technical/vocational,Female,21 years,Wexford,209
Technical/vocational,Female,21 years,Wicklow,185
Technical/vocational,Female,21 years,Clare,165
Technical/vocational,Female,21 years,Cork City,148
Technical/vocational,Female,21 years,Cork County,758
Technical/vocational,Female,21 years,Kerry,217
Technical/vocational,Female,21 years,Limerick City and County,228
Technical/vocational,Female,21 years,Tipperary,207
Technical/vocational,Female,21 years,Waterford City and County,143
Technical/vocational,Female,21 years,Galway City,114
Technical/vocational,Female,21 years,Galway County,274
Technical/vocational,Female,21 years,Leitrim,35
Technical/vocational,Female,21 years,Mayo,179
Technical/vocational,Female,21 years,Roscommon,82
Technical/vocational,Female,21 years,Sligo,79
Technical/vocational,Female,21 years,Cavan,145
Technical/vocational,Female,21 years,Donegal,199
Technical/vocational,Female,21 years,Monaghan,95
,,,,
Technical/vocational,Female,22 years,State,3455
Technical/vocational,Female,22 years,Carlow,47
Technical/vocational,Female,22 years,Dublin City,324
Technical/vocational,Female,22 years,Dún Laoghaire-Rathdown,125
Technical/vocational,Female,22 years,Fingal,208
Technical/vocational,Female,22 years,South Dublin,200
Technical/vocational,Female,22 years,Kildare,159
Technical/vocational,Female,22 years,Kilkenny,66
Technical/vocational,Female,22 years,Laois,72
Technical/vocational,Female,22 years,Longford,38
Technical/vocational,Female,22 years,Louth,100
Technical/vocational,Female,22 years,Meath,158
Technical/vocational,Female,22 years,Offaly,53
Technical/vocational,Female,22 years,Westmeath,50
Technical/vocational,Female,22 years,Wexford,110
Technical/vocational,Female,22 years,Wicklow,94
Technical/vocational,Female,22 years,Clare,78
Technical/vocational,Female,22 years,Cork City,86
Technical/vocational,Female,22 years,Cork County,417
Technical/vocational,Female,22 years,Kerry,103
Technical/vocational,Female,22 years,Limerick City and County,124
Technical/vocational,Female,22 years,Tipperary,100
Technical/vocational,Female,22 years,Waterford City and County,83
Technical/vocational,Female,22 years,Galway City,70
Technical/vocational,Female,22 years,Galway County,128
Technical/vocational,Female,22 years,Leitrim,20
Technical/vocational,Female,22 years,Mayo,116
Technical/vocational,Female,22 years,Roscommon,39
Technical/vocational,Female,22 years,Sligo,53
Technical/vocational,Female,22 years,Cavan,81
Technical/vocational,Female,22 years,Donegal,96
Technical/vocational,Female,22 years,Monaghan,57
,,,,
Technical/vocational,Female,23 years,State,1811
Technical/vocational,Female,23 years,Carlow,22
Technical/vocational,Female,23 years,Dublin City,201
Technical/vocational,Female,23 years,Dún Laoghaire-Rathdown,52
Technical/vocational,Female,23 years,Fingal,125
Technical/vocational,Female,23 years,South Dublin,92
Technical/vocational,Female,23 years,Kildare,85
Technical/vocational,Female,23 years,Kilkenny,38
Technical/vocational,Female,23 years,Laois,44
Technical/vocational,Female,23 years,Longford,17
Technical/vocational,Female,23 years,Louth,52
Technical/vocational,Female,23 years,Meath,64
Technical/vocational,Female,23 years,Offaly,27
Technical/vocational,Female,23 years,Westmeath,35
Technical/vocational,Female,23 years,Wexford,63
Technical/vocational,Female,23 years,Wicklow,58
Technical/vocational,Female,23 years,Clare,42
Technical/vocational,Female,23 years,Cork City,51
Technical/vocational,Female,23 years,Cork County,173
Technical/vocational,Female,23 years,Kerry,69
Technical/vocational,Female,23 years,Limerick City and County,75
Technical/vocational,Female,23 years,Tipperary,61
Technical/vocational,Female,23 years,Waterford City and County,43
Technical/vocational,Female,23 years,Galway City,43
Technical/vocational,Female,23 years,Galway County,56
Technical/vocational,Female,23 years,Leitrim,9
Technical/vocational,Female,23 years,Mayo,49
Technical/vocational,Female,23 years,Roscommon,27
Technical/vocational,Female,23 years,Sligo,29
Technical/vocational,Female,23 years,Cavan,34
Technical/vocational,Female,23 years,Donegal,49
Technical/vocational,Female,23 years,Monaghan,26
,,,,
Technical/vocational,Female,24 years,State,1403
Technical/vocational,Female,24 years,Carlow,15
Technical/vocational,Female,24 years,Dublin City,122
Technical/vocational,Female,24 years,Dún Laoghaire-Rathdown,59
Technical/vocational,Female,24 years,Fingal,92
Technical/vocational,Female,24 years,South Dublin,75
Technical/vocational,Female,24 years,Kildare,55
Technical/vocational,Female,24 years,Kilkenny,28
Technical/vocational,Female,24 years,Laois,42
Technical/vocational,Female,24 years,Longford,13
Technical/vocational,Female,24 years,Louth,40
Technical/vocational,Female,24 years,Meath,43
Technical/vocational,Female,24 years,Offaly,25
Technical/vocational,Female,24 years,Westmeath,22
Technical/vocational,Female,24 years,Wexford,42
Technical/vocational,Female,24 years,Wicklow,40
Technical/vocational,Female,24 years,Clare,33
Technical/vocational,Female,24 years,Cork City,48
Technical/vocational,Female,24 years,Cork County,155
Technical/vocational,Female,24 years,Kerry,52
Technical/vocational,Female,24 years,Limerick City and County,59
Technical/vocational,Female,24 years,Tipperary,45
Technical/vocational,Female,24 years,Waterford City and County,30
Technical/vocational,Female,24 years,Galway City,23
Technical/vocational,Female,24 years,Galway County,67
Technical/vocational,Female,24 years,Leitrim,8
Technical/vocational,Female,24 years,Mayo,47
Technical/vocational,Female,24 years,Roscommon,10
Technical/vocational,Female,24 years,Sligo,24
Technical/vocational,Female,24 years,Cavan,29
Technical/vocational,Female,24 years,Donegal,43
Technical/vocational,Female,24 years,Monaghan,17
,,,,
Technical/vocational,Female,25 years and over,State,9215
Technical/vocational,Female,25 years and over,Carlow,122
Technical/vocational,Female,25 years and over,Dublin City,869
Technical/vocational,Female,25 years and over,Dún Laoghaire-Rathdown,371
Technical/vocational,Female,25 years and over,Fingal,528
Technical/vocational,Female,25 years and over,South Dublin,490
Technical/vocational,Female,25 years and over,Kildare,382
Technical/vocational,Female,25 years and over,Kilkenny,229
Technical/vocational,Female,25 years and over,Laois,198
Technical/vocational,Female,25 years and over,Longford,81
Technical/vocational,Female,25 years and over,Louth,277
Technical/vocational,Female,25 years and over,Meath,364
Technical/vocational,Female,25 years and over,Offaly,121
Technical/vocational,Female,25 years and over,Westmeath,160
Technical/vocational,Female,25 years and over,Wexford,381
Technical/vocational,Female,25 years and over,Wicklow,361
Technical/vocational,Female,25 years and over,Clare,252
Technical/vocational,Female,25 years and over,Cork City,249
Technical/vocational,Female,25 years and over,Cork County,915
Technical/vocational,Female,25 years and over,Kerry,261
Technical/vocational,Female,25 years and over,Limerick City and County,326
Technical/vocational,Female,25 years and over,Tipperary,308
Technical/vocational,Female,25 years and over,Waterford City and County,296
Technical/vocational,Female,25 years and over,Galway City,150
Technical/vocational,Female,25 years and over,Galway County,317
Technical/vocational,Female,25 years and over,Leitrim,60
Technical/vocational,Female,25 years and over,Mayo,243
Technical/vocational,Female,25 years and over,Roscommon,135
Technical/vocational,Female,25 years and over,Sligo,133
Technical/vocational,Female,25 years and over,Cavan,219
Technical/vocational,Female,25 years and over,Donegal,308
Technical/vocational,Female,25 years and over,Monaghan,109
,,,,
,,,,
,,,,
Advanced certificate/completed apprenticeship,Male,18 years,State,16775
Advanced certificate/completed apprenticeship,Male,18 years,Carlow,239
Advanced certificate/completed apprenticeship,Male,18 years,Dublin City,1114
Advanced certificate/completed apprenticeship,Male,18 years,Dún Laoghaire-Rathdown,424
Advanced certificate/completed apprenticeship,Male,18 years,Fingal,928
Advanced certificate/completed apprenticeship,Male,18 years,South Dublin,908
Advanced certificate/completed apprenticeship,Male,18 years,Kildare,842
Advanced certificate/completed apprenticeship,Male,18 years,Kilkenny,528
Advanced certificate/completed apprenticeship,Male,18 years,Laois,355
Advanced certificate/completed apprenticeship,Male,18 years,Longford,148
Advanced certificate/completed apprenticeship,Male,18 years,Louth,411
Advanced certificate/completed apprenticeship,Male,18 years,Meath,811
Advanced certificate/completed apprenticeship,Male,18 years,Offaly,336
Advanced certificate/completed apprenticeship,Male,18 years,Westmeath,316
Advanced certificate/completed apprenticeship,Male,18 years,Wexford,641
Advanced certificate/completed apprenticeship,Male,18 years,Wicklow,556
Advanced certificate/completed apprenticeship,Male,18 years,Clare,548
Advanced certificate/completed apprenticeship,Male,18 years,Cork City,317
Advanced certificate/completed apprenticeship,Male,18 years,Cork County,1878
Advanced certificate/completed apprenticeship,Male,18 years,Kerry,550
Advanced certificate/completed apprenticeship,Male,18 years,Limerick City and County,817
Advanced certificate/completed apprenticeship,Male,18 years,Tipperary,781
Advanced certificate/completed apprenticeship,Male,18 years,Waterford City and County,447
Advanced certificate/completed apprenticeship,Male,18 years,Galway City,147
Advanced certificate/completed apprenticeship,Male,18 years,Galway County,710
Advanced certificate/completed apprenticeship,Male,18 years,Leitrim,113
Advanced certificate/completed apprenticeship,Male,18 years,Mayo,481
Advanced certificate/completed apprenticeship,Male,18 years,Roscommon,216
Advanced certificate/completed apprenticeship,Male,18 years,Sligo,250
Advanced certificate/completed apprenticeship,Male,18 years,Cavan,281
Advanced certificate/completed apprenticeship,Male,18 years,Donegal,436
Advanced certificate/completed apprenticeship,Male,18 years,Monaghan,246
,,,,
Advanced certificate/completed apprenticeship,Male,19 years,State,7962
Advanced certificate/completed apprenticeship,Male,19 years,Carlow,123
Advanced certificate/completed apprenticeship,Male,19 years,Dublin City,461
Advanced certificate/completed apprenticeship,Male,19 years,Dún Laoghaire-Rathdown,174
Advanced certificate/completed apprenticeship,Male,19 years,Fingal,372
Advanced certificate/completed apprenticeship,Male,19 years,South Dublin,360
Advanced certificate/completed apprenticeship,Male,19 years,Kildare,349
